model-1603541615,1603541619.753,                            0.64,                            0.6685,                            0.58,                            0.659
model-1603541615,1603541619.787,                            0.55,                            0.6732,                            0.61,                            0.6698
model-1603541615,1603541619.824,                            0.66,                            0.6604,                            0.59,                            0.6796
model-1603541615,1603541619.858,                            0.47,                            0.7143,                            0.66,                            0.6599
model-1603541615,1603541619.893,                            0.61,                            0.6725,                            0.63,                            0.6634
model-1603541615,1603541619.931,                            0.62,                            0.6665,                            0.68,                            0.6511
model-1603541615,1603541619.965,                            0.63,                            0.6764,                            0.68,                            0.6455
model-1603541615,1603541619.999,                            0.53,                            0.6729,                            0.57,                            0.6957
model-1603541615,1603541620.037,                            0.65,                            0.6546,                            0.61,                            0.6555
model-1603541615,1603541620.072,                            0.64,                            0.6645,                            0.62,                            0.6466
model-1603541615,1603541620.106,                            0.62,                            0.6688,                            0.63,                            0.6559
model-1603541615,1603541620.144,                            0.53,                            0.6902,                            0.56,                            0.6868
model-1603541615,1603541620.179,                            0.53,                            0.7021,                            0.73,                            0.6243
model-1603541615,1603541620.213,                            0.5,                            0.6825,                            0.6,                            0.6399
model-1603541615,1603541620.251,                            0.61,                            0.6515,                            0.61,                            0.6363
model-1603541615,1603541620.286,                            0.6,                            0.6565,                            0.6,                            0.6535
model-1603541615,1603541620.32,                            0.6,                            0.6536,                            0.64,                            0.6287
model-1603541615,1603541620.357,                            0.66,                            0.6583,                            0.58,                            0.668
model-1603541615,1603541620.392,                            0.62,                            0.6539,                            0.61,                            0.6522
model-1603541615,1603541620.427,                            0.59,                            0.6688,                            0.61,                            0.6639
model-1603541615,1603541620.464,                            0.61,                            0.6739,                            0.62,                            0.6327
model-1603541615,1603541620.499,                            0.52,                            0.6834,                            0.7,                            0.6059
model-1603541615,1603541620.533,                            0.65,                            0.6637,                            0.67,                            0.6452
model-1603541615,1603541620.57,                            0.61,                            0.6591,                            0.66,                            0.6396
model-1603541615,1603541620.605,                            0.54,                            0.6766,                            0.55,                            0.6615
model-1603541615,1603541620.639,                            0.65,                            0.6421,                            0.58,                            0.6423
model-1603541615,1603541620.677,                            0.58,                            0.671,                            0.64,                            0.6461
model-1603541615,1603541620.711,                            0.58,                            0.6674,                            0.62,                            0.6267
model-1603541615,1603541620.745,                            0.59,                            0.6658,                            0.54,                            0.7017
model-1603541615,1603541620.783,                            0.64,                            0.6331,                            0.57,                            0.6586
model-1603541615,1603541620.817,                            0.72,                            0.5933,                            0.61,                            0.6571
model-1603541615,1603541620.852,                            0.62,                            0.6443,                            0.66,                            0.6232
model-1603541615,1603541620.89,                            0.73,                            0.6149,                            0.62,                            0.645
model-1603541615,1603541620.925,                            0.59,                            0.6645,                            0.65,                            0.6297
model-1603541615,1603541620.959,                            0.63,                            0.6401,                            0.7,                            0.5965
model-1603541615,1603541620.998,                            0.61,                            0.7047,                            0.68,                            0.6063
model-1603541615,1603541621.032,                            0.64,                            0.6245,                            0.62,                            0.6662
model-1603541615,1603541621.067,                            0.65,                            0.6117,                            0.53,                            0.7098
model-1603541615,1603541621.106,                            0.73,                            0.5918,                            0.6,                            0.6798
model-1603541615,1603541621.14,                            0.61,                            0.6669,                            0.57,                            0.6796
model-1603541615,1603541621.174,                            0.65,                            0.6068,                            0.62,                            0.6744
model-1603541615,1603541621.212,                            0.64,                            0.6325,                            0.62,                            0.6715
model-1603541615,1603541621.247,                            0.6,                            0.6427,                            0.61,                            0.6283
model-1603541615,1603541621.281,                            0.63,                            0.6009,                            0.56,                            0.6469
model-1603541615,1603541621.321,                            0.7,                            0.6157,                            0.58,                            0.6631
model-1603541615,1603541621.356,                            0.6,                            0.6625,                            0.61,                            0.6634
model-1603541615,1603541621.39,                            0.67,                            0.5756,                            0.62,                            0.613
model-1603541615,1603541621.427,                            0.59,                            0.668,                            0.62,                            0.6565
model-1603541615,1603541621.462,                            0.64,                            0.6621,                            0.73,                            0.6042
model-1603541615,1603541621.496,                            0.7,                            0.6006,                            0.55,                            0.7155
model-1603541615,1603541621.533,                            0.53,                            0.7399,                            0.62,                            0.6281
model-1603541615,1603541621.568,                            0.57,                            0.6507,                            0.67,                            0.6169
model-1603541615,1603541621.602,                            0.65,                            0.652,                            0.65,                            0.6278
model-1603541615,1603541621.64,                            0.66,                            0.6204,                            0.6,                            0.6506
model-1603541615,1603541621.675,                            0.57,                            0.6674,                            0.61,                            0.6264
model-1603541615,1603541621.709,                            0.66,                            0.642,                            0.67,                            0.6151
model-1603541615,1603541621.747,                            0.64,                            0.6263,                            0.74,                            0.6092
model-1603541615,1603541621.781,                            0.57,                            0.6822,                            0.67,                            0.6254
model-1603541615,1603541621.815,                            0.63,                            0.6353,                            0.7,                            0.6024
model-1603541615,1603541621.853,                            0.62,                            0.6582,                            0.58,                            0.6908
model-1603541615,1603541621.888,                            0.69,                            0.626,                            0.6,                            0.6849
model-1603541615,1603541621.922,                            0.68,                            0.6108,                            0.67,                            0.6236
model-1603541615,1603541621.96,                            0.56,                            0.667,                            0.65,                            0.6382
model-1603541615,1603541621.994,                            0.54,                            0.6786,                            0.62,                            0.6539
model-1603541615,1603541622.028,                            0.6,                            0.6467,                            0.56,                            0.6524
model-1603541615,1603541622.065,                            0.61,                            0.6401,                            0.54,                            0.667
model-1603541615,1603541622.1,                            0.58,                            0.6736,                            0.54,                            0.6765
model-1603541615,1603541622.134,                            0.67,                            0.6247,                            0.61,                            0.6207
model-1603541615,1603541622.172,                            0.59,                            0.6746,                            0.62,                            0.6481
model-1603541615,1603541622.206,                            0.61,                            0.6447,                            0.64,                            0.645
model-1603541615,1603541622.24,                            0.61,                            0.6514,                            0.63,                            0.641
model-1603541615,1603541622.278,                            0.62,                            0.6515,                            0.65,                            0.5974
model-1603541615,1603541622.312,                            0.52,                            0.7384,                            0.55,                            0.6964
model-1603541615,1603541622.346,                            0.66,                            0.645,                            0.61,                            0.654
model-1603541615,1603541622.383,                            0.57,                            0.6647,                            0.58,                            0.6698
model-1603541615,1603541622.418,                            0.64,                            0.634,                            0.63,                            0.6327
model-1603541615,1603541622.452,                            0.64,                            0.6423,                            0.72,                            0.587
model-1603541615,1603541622.489,                            0.69,                            0.6023,                            0.62,                            0.6375
model-1603541615,1603541622.524,                            0.59,                            0.6501,                            0.63,                            0.6386
model-1603541615,1603541622.558,                            0.62,                            0.6422,                            0.61,                            0.6471
model-1603541615,1603541622.596,                            0.66,                            0.6331,                            0.58,                            0.6574
model-1603541615,1603541622.631,                            0.69,                            0.5996,                            0.67,                            0.6397
model-1603541615,1603541622.665,                            0.68,                            0.6457,                            0.69,                            0.5684
model-1603541615,1603541622.703,                            0.61,                            0.675,                            0.66,                            0.6418
model-1603541615,1603541622.738,                            0.65,                            0.6139,                            0.54,                            0.6724
model-1603541615,1603541622.772,                            0.64,                            0.6764,                            0.5,                            0.7333
model-1603541615,1603541622.81,                            0.59,                            0.6761,                            0.7,                            0.586
model-1603541615,1603541622.844,                            0.7,                            0.5949,                            0.63,                            0.6472
model-1603541615,1603541622.878,                            0.68,                            0.5866,                            0.59,                            0.6521
model-1603541615,1603541622.916,                            0.59,                            0.6629,                            0.69,                            0.6063
model-1603541615,1603541622.95,                            0.63,                            0.6481,                            0.62,                            0.6239
model-1603541615,1603541622.984,                            0.68,                            0.583,                            0.67,                            0.6188
model-1603541615,1603541623.022,                            0.61,                            0.6376,                            0.64,                            0.6121
model-1603541615,1603541623.056,                            0.56,                            0.6933,                            0.64,                            0.6529
model-1603541615,1603541623.09,                            0.67,                            0.6201,                            0.66,                            0.5673
model-1603541615,1603541623.127,                            0.69,                            0.5851,                            0.67,                            0.6163
model-1603541615,1603541623.161,                            0.67,                            0.5881,                            0.61,                            0.6589
model-1603541615,1603541623.195,                            0.6,                            0.6936,                            0.65,                            0.5979
model-1603541615,1603541623.233,                            0.56,                            0.6909,                            0.74,                            0.5976
model-1603541615,1603541623.267,                            0.65,                            0.6444,                            0.6,                            0.6644
model-1603541615,1603541623.301,                            0.72,                            0.5877,                            0.61,                            0.6346
model-1603541615,1603541623.339,                            0.7,                            0.639,                            0.53,                            0.7012
model-1603541615,1603541623.374,                            0.63,                            0.6513,                            0.67,                            0.5923
model-1603541615,1603541623.408,                            0.58,                            0.6804,                            0.62,                            0.6372
model-1603541615,1603541623.445,                            0.66,                            0.6237,                            0.65,                            0.6265
model-1603541615,1603541623.48,                            0.66,                            0.6461,                            0.76,                            0.5987
model-1603541615,1603541623.514,                            0.69,                            0.6471,                            0.58,                            0.6487
model-1603541615,1603541623.55,                            0.67,                            0.6149,                            0.62,                            0.6329
model-1603541615,1603541623.585,                            0.59,                            0.6423,                            0.67,                            0.6251
